fen,target
8/1p2k3/8/6r1/1P1R2P1/3K4/8/8 w - - 0 1,checkmate
8/K7/8/pk6/8/8/8/R7 w - - 0 1,checkmate
8/8/8/8/8/p2N4/k1K5/8 w - - 0 1,checkmate
8/8/8/P7/8/2k2p2/7K/8 w - - 0 1,checkmate
8/8/8/8/p5N1/p7/2K5/k7 w - - 0 1,checkmate
8/8/8/8/8/7p/4N3/5K1k w - - 0 1,checkmate
8/8/8/8/8/6Q1/2K2p2/5k2 w - - 0 1,checkmate
8/8/8/8/8/3K1kp1/8/R7 w - - 0 1,checkmate
8/8/8/8/8/2P2p2/k6K/8 w - - 0 1,checkmate
8/8/8/8/6K1/8/3Q1p2/6k1 w - - 0 1,checkmate
8/8/8/8/6K1/6Q1/2p5/3k4 w - - 0 1,checkmate
8/8/8/2k5/8/1P6/1PK5/8 w - - 0 1,checkmate
8/8/8/2k5/8/1P6/1P6/K7 w - - 0 1,checkmate
8/7k/8/1P6/1n1K4/8/8/8 w - - 0 1,checkmate
8/8/6K1/4p3/8/1P6/8/5k2 w - - 0 1,checkmate
8/8/6K1/4B2P/6k1/4b3/8/8 w - - 0 1,checkmate
8/8/4K3/P7/7p/8/7k/8 w - - 0 1,checkmate
8/8/3k4/8/8/5pp1/8/3KR3 w - - 0 1,checkmate
8/8/3K4/1BP5/8/5b2/5k2/8 w - - 0 1,checkmate
8/8/2K5/8/pk6/8/8/7R w - - 0 1,checkmate
8/7p/8/8/6k1/8/8/KR6 w - - 0 1,checkmate
8/7p/8/8/6K1/8/1k5P/8 w - - 0 1,checkmate
8/7Q/6p1/5k2/8/8/8/K7 w - - 0 1,checkmate
8/6p1/8/8/8/8/1P6/4K2k w - - 0 1,checkmate
8/6p1/1K6/8/8/6P1/k7/8 w - - 0 1,checkmate
8/6k1/1P6/8/8/8/7r/K4R2 w - - 0 1,checkmate
8/5p2/8/8/8/8/P7/3K2k1 w - - 0 1,checkmate
8/5p2/8/1K6/8/2k5/7P/8 w - - 0 1,checkmate
8/5k2/2R5/6K1/6P1/2P5/2r5/8 w - - 0 1,checkmate
8/4K3/8/5kp1/8/8/8/1R6 w - - 0 1,checkmate
8/4B1b1/6P1/5K1k/8/8/8/8 w - - 0 1,checkmate
8/2p5/8/8/8/8/k6P/4K3 w - - 0 1,checkmate
8/2P5/1K1r4/8/8/8/8/k7 w - - 0 1,checkmate
8/1p6/8/2k5/5KP1/8/8/8 w - - 0 1,checkmate
8/1k6/8/1P6/1P6/1K6/8/8 w - - 0 1,checkmate
8/1R6/6p1/6p1/K5k1/8/8/8 w - - 0 1,checkmate
7n/8/2k5/4K3/P7/8/2P5/8 w - - 0 1,checkmate
7k/8/7b/4PK2/8/8/8/B7 w - - 0 1,checkmate
7k/7b/5P1K/8/4B3/8/8/8 w - - 0 1,checkmate
7k/3K4/1B3P2/8/5b2/8/8/8 w - - 0 1,checkmate
6RK/8/3k4/8/2p5/8/8/8 w - - 0 1,checkmate
6R1/8/3K4/8/8/7p/7k/8 w - - 0 1,checkmate
5k2/8/6PK/8/8/2b3B1/8/8 w - - 0 1,checkmate
5k2/8/5K2/6P1/5P2/1bB5/8/8 w - - 0 1,checkmate
5Q2/8/8/1K6/8/8/2pk4/8 w - - 0 1,checkmate
4k3/8/4p3/1K6/4P3/8/8/8 w - - 0 1,checkmate
4k3/6K1/8/8/1P6/8/1P6/8 w - - 0 1,checkmate
4k3/4P1R1/7K/7P/8/8/8/7r w - - 0 1,checkmate
4K3/4P2k/8/6R1/8/8/8/3r4 w - - 0 1,checkmate
3R4/4K3/8/8/3pk3/8/8/8 w - - 0 1,checkmate
3R4/4K3/8/5kp1/8/8/8/8 w - - 0 1,checkmate
3B4/5K2/4P3/2bk4/8/8/8/8 w - - 0 1,checkmate
2bk4/8/3K4/5P2/6B1/8/8/8 w - - 0 1,checkmate
2K5/2P1k3/8/8/8/8/3R4/2r5 w - - 0 1,checkmate
1R6/8/8/7p/6k1/8/8/K7 w - - 0 1,checkmate
1R6/3r4/8/8/8/8/p3K3/k7 w - - 0 1,draw
8/8/K1k5/1p6/8/8/7P/8 w - - 0 1,draw
8/8/5K2/7k/8/p7/1p6/1R6 w - - 0 1,draw
8/8/2p5/1k6/3P4/8/8/K7 w - - 0 1,draw
8/8/1p6/8/8/P7/8/5k1K w - - 0 1,draw
r7/8/8/5PK1/8/1k6/8/8 w - - 0 1,draw
8/8/8/8/1K1kp3/8/5P2/8 w - - 0 1,draw
8/2p5/5K2/8/4kN2/4p3/8/8 w - - 0 1,draw
8/1p6/1P5K/8/8/8/8/k7 w - - 0 1,draw
6k1/p7/8/8/5P1K/8/8/8 w - - 0 1,draw
8/8/8/8/8/PK6/8/6kr w - - 0 1,draw
5N2/8/4p3/8/K1k4p/8/8/8 w - - 0 1,draw
8/8/8/2kpr3/8/5K2/8/3R4 w - - 0 1,draw
8/8/2b5/1p6/3k1K2/8/8/3B4 w - - 0 1,draw
8/8/8/3k4/8/8/2N2B2/1K6 w - - 0 1,checkmate
2k5/1R6/K7/8/8/8/2p5/8 w - - 0 1,draw
2K5/8/8/8/p7/4k3/P7/8 w - - 0 1,draw
3r4/8/2k5/2p5/8/8/4K3/1R6 w - - 0 1,draw
1k6/R7/K7/8/8/8/2p5/8 w - - 0 1,draw
r7/5Pk1/6P1/8/6K1/8/8/5R2 w - - 0 1,checkmate
q7/3k4/8/2K5/2Q5/8/8/8 w - - 0 1,checkmate
R7/P4k2/8/8/8/8/6K1/r7 w - - 0 1,checkmate
R7/8/3K4/8/4p3/5k2/8/8 w - - 0 1,checkmate
Q7/8/5K2/4p3/8/8/4pk2/8 w - - 0 1,checkmate
K7/6k1/8/6p1/8/8/7R/8 w - - 0 1,checkmate
K7/1R6/6k1/7p/8/8/8/8 w - - 0 1,checkmate
8/r7/4PRK1/3k4/8/8/8/8 w - - 0 1,checkmate
8/8/r4kP1/5P2/1R3K2/8/8/8 w - - 0 1,checkmate
8/8/8/PK6/1P6/8/7k/r7 w - - 0 1,checkmate
8/8/8/8/k6p/8/2K3P1/8 w - - 0 1,checkmate
8/8/8/8/8/P4p2/k6K/8 w - - 0 1,checkmate
8/8/8/8/8/4p3/2Kpk3/R7 w - - 0 1,checkmate
8/4K3/1R4p1/6kp/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/4PkP1/8/8/5K2 w - - 0 1,checkmate
2R5/3K4/8/4kp2/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/1k6/1pp5/8/1KR5 w - - 0 1,checkmate
8/8/8/5P2/r5P1/4K3/1k6/8 w - - 0 1,checkmate
8/8/8/4k1P1/8/8/6P1/2K5 w - - 0 1,checkmate
8/8/8/3R4/2K5/6pp/k7/8 w - - 0 1,checkmate
8/8/8/2P2k2/8/2P5/8/6K1 w - - 0 1,checkmate
8/8/5k2/8/PR3PK1/8/8/r7 w - - 0 1,checkmate
8/8/5k2/8/6bP/6P1/8/4KB2 w - - 0 1,checkmate
8/8/5KP1/7r/8/8/8/1k6 w - - 0 1,checkmate
8/8/3K3p/8/8/4P3/8/4k3 w - - 0 1,checkmate
8/8/1p6/8/8/6P1/k1K5/8 w - - 0 1,checkmate
8/8/1KP5/3r4/8/8/8/k7 w - - 0 1,checkmate
8/7K/4k2P/4P3/4R3/6r1/8/8 w - - 0 1,checkmate
8/6p1/7k/8/1K6/8/1P6/8 w - - 0 1,checkmate
8/6k1/8/6P1/6P1/7K/8/8 w - - 0 1,checkmate
8/6k1/8/6K1/5PBP/3b4/8/8 w - - 0 1,checkmate
8/5K2/R7/8/p7/k7/8/8 w - - 0 1,checkmate
8/5K2/8/8/4pk2/8/8/R7 w - - 0 1,checkmate
8/5K2/8/4pk2/4R3/8/8/8 w - - 0 1,checkmate
8/4p3/8/2K5/8/6k1/P7/8 w - - 0 1,checkmate
8/4K3/8/4p3/8/4k3/6R1/8 w - - 0 1,checkmate
8/4K3/4P2k/8/R7/p7/8/r7 w - - 0 1,checkmate
8/2K5/8/4p3/8/4k3/3R4/8 w - - 0 1,checkmate
8/3p4/8/8/8/1k3K2/7P/8 w - - 0 1,checkmate
8/3RK3/8/5kp1/8/8/8/8 w - - 0 1,checkmate
8/2p5/6K1/8/8/5k2/P7/8 w - - 0 1,checkmate
8/1p6/7K/8/7P/8/5k2/8 w - - 0 1,checkmate
8/1KP5/8/k4b2/8/8/4B3/8 w - - 0 1,checkmate
R5K1/4k1P1/8/8/8/8/8/7r w - - 0 1,checkmate
7R/7p/1K1k4/8/5p2/8/8/8 w - - 0 1,checkmate
7Q/8/8/8/2K5/8/2p5/1k6 w - - 0 1,checkmate
6r1/4k3/8/6P1/6K1/8/8/5R2 w - - 0 1,checkmate
6R1/8/8/8/3K4/1p6/k7/8 w - - 0 1,checkmate
6Q1/8/p7/4K3/8/8/pk6/8 w - - 0 1,checkmate
6KR/4p3/6k1/7p/8/8/8/8 w - - 0 1,checkmate
6K1/8/1P4R1/6p1/8/8/6r1/7k w - - 0 1,checkmate
6K1/3k2P1/8/8/8/8/7r/4R3 w - - 0 1,checkmate
6K1/1k3P2/6Q1/8/8/8/q7/8 w - - 0 1,checkmate
5q2/5P2/8/8/8/7Q/k7/5K2 w - - 0 1,checkmate
5k2/8/6PK/8/8/8/1b1B4/8 w - - 0 1,checkmate
5k2/3b4/3P1K2/3P4/8/8/8/3B4 w - - 0 1,checkmate
5R2/5K1k/5P2/8/8/8/8/5r2 w - - 0 1,checkmate
4r3/P7/1K6/8/8/5p2/2R2Pk1/8 w - - 0 1,checkmate
4k1K1/6P1/8/8/8/8/7r/5R2 w - - 0 1,checkmate
4R3/5K2/8/5k2/4p3/8/8/8 w - - 0 1,checkmate
3K4/8/8/1n5P/5k2/8/8/8 w - - 0 1,checkmate
3K4/3P2k1/8/8/8/8/2r5/5R2 w - - 0 1,checkmate
2k5/8/1PPb4/1K6/8/8/2B5/8 w - - 0 1,checkmate
2KB4/1P6/2k5/8/8/8/7b/8 w - - 0 1,checkmate
1K6/8/8/8/8/Q7/1p4p1/1k6 w - - 0 1,checkmate
1K6/2P5/Bk6/8/8/7b/8/8 w - - 0 1,checkmate
1K6/1Q6/8/8/8/2p5/8/2k5 w - - 0 1,checkmate
k7/p7/K7/3p4/8/8/8/8 w - - 0 1,draw
8/8/8/3k4/8/3K4/p2R4/r7 w - - 0 1,draw
K7/R7/3k4/8/8/p7/8/r7 w - - 0 1,draw
8/8/8/8/1r5P/6KP/8/k7 w - - 0 1,draw
8/R7/8/1r6/8/8/p7/k1K5 w - - 0 1,draw
8/8/8/8/5K2/1R5p/r5k1/8 w - - 0 1,draw
8/8/k1P5/p7/8/7K/8/8 w - - 0 1,draw
8/8/8/6P1/8/6K1/3k4/4r3 w - - 0 1,draw
8/8/8/5B2/pp6/kb6/8/1K6 w - - 0 1,draw
8/8/8/1p6/8/1Pk5/8/1K6 w - - 0 1,draw
8/8/7K/8/6R1/4k3/5p2/8 w - - 0 1,draw
8/8/1k4K1/1p6/8/8/4P3/8 w - - 0 1,draw
8/7p/8/3K1k2/8/3P4/8/8 w - - 0 1,draw
8/5k1K/8/8/2p5/8/3P4/8 w - - 0 1,draw
8/8/8/1B6/3K2b1/4p3/5k2/8 w - - 0 1,draw
8/2k5/8/1p1p4/3K4/8/8/8 w - - 0 1,draw
8/1K6/8/3p4/2k5/P7/8/8 w - - 0 1,draw
6R1/8/8/8/8/6pp/k5r1/7K w - - 0 1,draw
5r2/8/8/6k1/6p1/8/4K3/6R1 w - - 0 1,draw
8/8/8/1P6/2K5/5k2/8/6r1 w - - 0 1,draw
6K1/8/p7/8/7k/5P2/8/8 w - - 0 1,draw
8/8/8/8/3p4/K1k5/3p4/5R2 w - - 0 1,draw
8/R7/8/8/5p2/6k1/1r6/5K2 w - - 0 1,draw
4r3/8/3k4/3p4/8/8/5K2/3R4 w - - 0 1,draw
3k4/7p/8/8/KP6/8/8/8 w - - 0 1,draw
3K4/8/1p6/8/8/4k3/6P1/8 w - - 0 1,draw
3r4/8/1k6/1p6/8/5K2/8/1R6 w - - 0 1,draw
8/8/8/8/5pk1/8/r7/1R3K2 w - - 0 1,draw
1K6/3k3p/8/8/8/8/P7/8 w - - 0 1,draw
r7/8/7k/8/8/8/P7/K5R1 w - - 0 1,checkmate
r7/8/7k/4P3/4K3/8/1R6/8 w - - 0 1,checkmate
k7/7R/7P/8/8/8/2K5/7r w - - 0 1,checkmate
b3k3/8/P7/2K1B3/3P4/8/8/8 w - - 0 1,checkmate
R7/P7/8/8/6K1/8/6k1/r7 w - - 0 1,checkmate
R7/P7/6K1/8/6k1/8/8/r7 w - - 0 1,checkmate
R7/P4k2/8/8/8/1K6/8/r7 w - - 0 1,checkmate
R7/P4k2/2K5/8/8/8/8/r7 w - - 0 1,checkmate
R7/8/P1K5/r7/k7/8/8/8 w - - 0 1,checkmate
R7/8/8/8/8/5p2/3Kpk2/8 w - - 0 1,checkmate
8/6K1/6R1/4k2P/8/8/8/r7 w - - 0 1,checkmate
8/8/2RK4/3P1k2/8/8/8/r7 w - - 0 1,checkmate
R7/6k1/P7/8/8/5r2/2K5/8 w - - 0 1,checkmate
R7/4Kp2/8/5kp1/8/8/8/8 w - - 0 1,checkmate
R7/1K1k4/P7/8/8/8/8/2r5 w - - 0 1,checkmate
K7/p7/8/8/8/8/6kp/4Q3 w - - 0 1,checkmate
K7/8/R7/6pk/8/8/8/8 w - - 0 1,checkmate
K7/8/8/8/8/1Q5p/p7/k7 w - - 0 1,checkmate
K7/2k5/R7/8/5p2/6p1/8/8 w - - 0 1,checkmate
K6R/8/7p/6k1/8/8/8/8 w - - 0 1,checkmate
8/r1k5/P7/1K6/8/8/8/R7 w - - 0 1,checkmate
8/p7/2K5/8/6k1/8/P7/8 w - - 0 1,checkmate
8/K5p1/8/8/7p/7k/8/6R1 w - - 0 1,checkmate
8/8/P7/8/8/1K3p1k/2R2P2/4r3 w - - 0 1,checkmate
8/8/8/kP2R3/8/1r6/6P1/K7 w - - 0 1,checkmate
8/8/8/KP3Pk1/8/8/7n/8 w - - 0 1,checkmate
8/8/8/K7/Q7/3p4/2p5/3k4 w - - 0 1,checkmate
8/8/8/8/8/Q3K3/6k1/7q w - - 0 1,checkmate
8/8/8/8/8/8/Q3K3/6kq w - - 0 1,checkmate
8/8/8/8/8/4K2p/4N2k/8 w - - 0 1,checkmate
5k2/r7/1R3pK1/5P2/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/3K4/p7/kp1Q4/8 w - - 0 1,checkmate
8/2p5/8/1k4K1/6P1/8/8/8 w - - 0 1,checkmate
8/7R/4K1k1/4P3/6r1/8/8/8 w - - 0 1,checkmate
8/8/8/5k2/RKP5/8/2r5/8 w - - 0 1,checkmate
8/8/8/4rP2/4P3/5K2/8/4k3 w - - 0 1,checkmate
8/8/8/2Q5/8/3K4/k7/q7 w - - 0 1,checkmate
8/8/8/1K6/8/4p3/1Q1pk3/8 w - - 0 1,checkmate
8/8/8/1K6/7p/k7/6P1/8 w - - 0 1,checkmate
8/2p5/8/1k6/6K1/7P/8/8 w - - 0 1,checkmate
8/8/7k/8/P7/6R1/4r3/1K6 w - - 0 1,checkmate
8/8/7k/8/8/6Pb/4B2P/6K1 w - - 0 1,checkmate
8/8/6P1/8/5p1k/r7/6K1/2R5 w - - 0 1,checkmate
7R/8/8/8/2K4p/6k1/8/8 w - - 0 1,checkmate
8/8/5P2/6P1/8/4K3/1k6/5r2 w - - 0 1,checkmate
8/8/4K3/1p5p/5k2/2R5/8/8 w - - 0 1,checkmate
8/8/1p6/8/k7/3K4/5P2/8 w - - 0 1,checkmate
8/8/1p5K/8/8/7P/8/6k1 w - - 0 1,checkmate
8/8/1p2K3/8/8/8/k5P1/8 w - - 0 1,checkmate
8/8/1K6/P7/1k2B3/8/4b3/8 w - - 0 1,checkmate
8/7p/8/4K3/8/8/7P/1k6 w - - 0 1,checkmate
8/7p/2K5/8/2P5/8/4k3/8 w - - 0 1,checkmate
8/7P/5R2/8/8/8/7r/K1k5 w - - 0 1,checkmate
8/6k1/1R6/8/8/2r4P/6PK/8 w - - 0 1,checkmate
8/6p1/8/8/2k1PK2/8/8/8 w - - 0 1,checkmate
8/6p1/8/7k/4PK2/8/8/8 w - - 0 1,checkmate
8/6k1/8/2PR4/8/2r4P/6K1/8 w - - 0 1,checkmate
8/6P1/4KP2/8/4k3/8/8/6r1 w - - 0 1,checkmate
8/6KQ/8/8/8/2p5/8/k7 w - - 0 1,checkmate
8/8/1p6/8/k7/2K5/5P2/8 w - - 0 1,checkmate
8/5kb1/8/8/6K1/3B4/4PP2/8 w - - 0 1,checkmate
8/5b2/8/4k3/4B3/3PKP2/8/8 w - - 0 1,checkmate
8/5P2/8/8/4r3/8/5K2/7k w - - 0 1,checkmate
8/5K2/3R4/6p1/8/5k2/8/8 w - - 0 1,checkmate
8/4k1r1/8/4KRP1/8/8/8/8 w - - 0 1,checkmate
8/4k1b1/8/3BP3/4KP2/8/8/8 w - - 0 1,checkmate
8/4K3/8/3pk3/3R4/8/8/8 w - - 0 1,checkmate
8/3k1P2/6q1/8/8/P7/K7/8 w - - 0 1,checkmate
8/3RP3/7k/5K2/8/p3r3/8/8 w - - 0 1,checkmate
8/3P1k2/7Q/2q5/8/8/3K4/8 w - - 0 1,checkmate
8/2k5/4KP2/2r5/8/8/8/8 w - - 0 1,checkmate
8/2K5/8/1k6/1p6/8/8/1R6 w - - 0 1,checkmate
8/2K5/4P1k1/8/8/8/1r6/R7 w - - 0 1,checkmate
8/2K3k1/4p3/8/4P3/8/8/8 w - - 0 1,checkmate
8/1r6/1Pp4R/8/8/8/8/k1K5 w - - 0 1,checkmate
8/1p6/8/8/8/8/1P6/K6k w - - 0 1,checkmate
8/1Q6/8/5K2/8/p7/1p6/2k5 w - - 0 1,checkmate
8/4k3/1p4PK/8/8/1r6/8/7R w - - 0 1,checkmate
7r/4k3/8/8/2P5/2K5/8/3R4 w - - 0 1,checkmate
7k/8/6PP/8/8/8/1b1K4/1B6 w - - 0 1,checkmate
8/3k4/1R5P/8/2KP4/8/8/7r w - - 0 1,checkmate
7R/3p4/3K4/7P/8/8/2r3k1/8 w - - 0 1,checkmate
7K/8/8/8/7Q/3kp3/3p4/8 w - - 0 1,checkmate
7K/6p1/8/7p/8/8/R7/6k1 w - - 0 1,checkmate
6r1/8/4k2P/7P/7K/8/8/3R4 w - - 0 1,checkmate
6r1/1P6/8/2KP4/k7/8/8/8 w - - 0 1,checkmate
6k1/4K3/3R4/8/p7/8/1p6/8 w - - 0 1,checkmate
6b1/8/7K/7B/5k2/8/6P1/8 w - - 0 1,checkmate
6R1/8/8/8/8/6K1/4p3/4k3 w - - 0 1,checkmate
6K1/8/8/3pk3/8/8/8/3R4 w - - 0 1,checkmate
6K1/4k1P1/8/8/8/8/7r/5R2 w - - 0 1,checkmate
5b2/5k2/8/4P3/5P2/5K2/4B3/8 w - - 0 1,checkmate
5R2/6p1/5rP1/4k2K/8/8/8/8 w - - 0 1,checkmate
5KQ1/8/8/8/6p1/8/p7/k7 w - - 0 1,checkmate
5K2/p7/8/8/8/k3p3/8/6R1 w - - 0 1,checkmate
4r3/4PR2/4k1P1/1K6/8/8/8/8 w - - 0 1,checkmate
4q3/4P3/8/8/4Q3/8/8/k3K3 w - - 0 1,checkmate
4k1r1/1R6/5p2/5K2/8/8/8/8 w - - 0 1,checkmate
4Q3/8/8/3K4/8/8/2p5/3k4 w - - 0 1,checkmate
4K3/4P1k1/8/8/8/8/r7/5R2 w - - 0 1,checkmate
4K3/3R4/8/6p1/8/5k2/8/8 w - - 0 1,checkmate
4K1k1/4P3/8/8/8/8/r7/5R2 w - - 0 1,checkmate
3r4/P4Kp1/k7/8/8/8/1R6/8 w - - 0 1,checkmate
3r4/3PK3/2k5/8/8/2p5/3R4/8 w - - 0 1,checkmate
3b4/8/2K5/k1B5/8/8/1P6/8 w - - 0 1,checkmate
3K4/8/1k6/Rp6/8/8/8/8 w - - 0 1,checkmate
2q5/6P1/4K3/k7/3Q4/8/8/8 w - - 0 1,checkmate
2b5/8/1K6/PB6/1k6/8/8/8 w - - 0 1,checkmate
2R5/2P3k1/8/4K3/2r5/8/8/8 w - - 0 1,checkmate
2K5/k7/7p/8/8/8/6P1/8 w - - 0 1,checkmate
1r6/8/4k3/2K4R/8/1P6/8/8 w - - 0 1,checkmate
1r6/8/3k4/1P6/1K6/8/8/2R5 w - - 0 1,checkmate
1r3k2/8/4PK2/8/8/8/R7/8 w - - 0 1,checkmate
1R6/8/8/7K/1pk5/8/8/8 w - - 0 1,checkmate
1R6/8/8/4K3/8/p6p/8/4k3 w - - 0 1,checkmate
1K6/1P1k4/8/8/8/8/2R5/r7 w - - 0 1,checkmate
8/8/8/k2r4/p7/8/4K3/R7 w - - 0 1,draw
8/8/2P5/8/3K1k2/3P4/3r3p/R7 w - - 0 1,draw
5r2/8/8/8/4k3/4p3/8/R5K1 w - - 0 1,draw
R7/8/2k5/8/8/6K1/p7/r7 w - - 0 1,draw
8/R7/5K2/8/8/p7/7k/r7 w - - 0 1,draw
R7/8/5k2/8/8/p7/6K1/r7 w - - 0 1,draw
K7/3p4/8/3k4/1P6/8/8/8 w - - 0 1,draw
1R6/8/8/8/8/2K5/p7/k6r w - - 0 1,draw
8/r7/8/8/6P1/8/5K2/k7 w - - 0 1,draw
8/8/k4K2/p7/8/8/4P3/8 w - - 0 1,draw
8/8/8/8/5K1k/R7/6pp/8 w - - 0 1,draw
r4k2/3P4/4K3/3P4/8/8/8/8 w - - 0 1,draw
8/8/8/8/3R1pk1/8/r7/5K2 w - - 0 1,draw
8/8/8/8/2p5/1p1k4/4R3/5K2 w - - 0 1,draw
8/8/8/8/1Rp5/8/1K1k4/2r5 w - - 0 1,draw
8/8/8/8/1K6/P7/k1r1P3/8 w - - 0 1,draw
8/8/8/7p/2p5/5K1k/2Bb4/8 w - - 0 1,draw
8/8/8/6k1/1p6/7R/2K4p/7r w - - 0 1,draw
8/8/8/5p2/3k4/5P2/8/6K1 w - - 0 1,draw
8/8/8/5B2/1p3b2/2k1p3/8/5K2 w - - 0 1,draw
8/8/5q2/8/8/1K6/5p1Q/k7 w - - 0 1,draw
8/8/2K4R/8/5p2/5kp1/8/8 w - - 0 1,draw
3K4/8/6p1/8/5k2/3P4/8/8 w - - 0 1,draw
8/8/3k4/4p3/4P3/8/7K/8 w - - 0 1,draw
8/8/1p3k1K/8/8/P7/8/8 w - - 0 1,draw
8/8/1p6/8/2P2k2/8/6K1/8 w - - 0 1,draw
8/8/8/3kpK2/3r4/8/5R2/8 w - - 0 1,draw
8/5p2/8/8/K4k2/8/7P/8 w - - 0 1,draw
8/5R2/8/8/8/2kp4/3p1K2/8 w - - 0 1,draw
8/4P3/8/4K3/8/4k3/8/4q3 w - - 0 1,draw
r7/8/8/4P3/5K2/8/4k3/8 w - - 0 1,draw
8/3p4/7K/8/7k/8/5P2/8 w - - 0 1,draw
8/1R6/8/3r2Pp/8/6k1/2K5/8 w - - 0 1,draw
8/1p6/8/8/7K/5k2/1P6/8 w - - 0 1,draw
2R5/8/8/8/K7/p2r4/1k6/8 w - - 0 1,draw
8/1K6/2P5/8/8/2Pk4/8/4q3 w - - 0 1,draw
7R/8/8/8/K7/8/1k5p/7r w - - 0 1,draw
1K6/8/2Q5/8/8/7q/6p1/7k w - - 0 1,draw
7R/8/8/8/5k2/6pp/7r/6K1 w - - 0 1,draw
1k6/8/R7/8/7p/6p1/7r/6K1 w - - 0 1,draw
6R1/8/8/8/1k1K4/8/1p4p1/8 w - - 0 1,draw
6K1/3k4/p7/8/8/8/4P3/8 w - - 0 1,draw
5r2/8/3k1P2/6P1/5K2/8/8/8 w - - 0 1,draw
5k2/8/5K2/8/8/6R1/6pp/8 w - - 0 1,draw
5KR1/8/8/8/4p3/8/1p6/1k6 w - - 0 1,draw
5K1Q/8/8/2q2k2/8/8/8/8 w - - 0 1,draw
4r3/6R1/8/8/6p1/7k/6p1/6K1 w - - 0 1,draw
3k4/8/8/4q3/8/1K6/4p3/4Q3 w - - 0 1,draw
4k3/7p/8/8/1P6/K7/8/8 w - - 0 1,draw
4R3/8/8/8/2K5/5p2/2k1p3/8 w - - 0 1,draw
4K3/8/8/8/1pp5/8/1k6/5R2 w - - 0 1,draw
R7/5r2/8/8/8/8/4p1K1/4k3 w - - 0 1,draw
8/8/2b5/1pk3K1/8/8/8/3B4 w - - 0 1,draw
3R4/8/8/4k3/6rp/8/6p1/6K1 w - - 0 1,draw
3K4/r3P3/3k4/8/8/8/8/8 w - - 0 1,draw
2k5/p7/8/4P3/8/7K/8/8 w - - 0 1,draw
2R5/8/8/3K4/1k6/5pp1/8/8 w - - 0 1,draw
R7/8/8/2k5/pr6/8/1p6/1K6 w - - 0 1,draw
8/6K1/3k2P1/8/8/8/8/1r6 w - - 0 1,draw
r7/PR6/8/8/5K2/k7/8/8 w - - 0 1,checkmate
r7/8/4k3/P7/K7/3R4/8/8 w - - 0 1,checkmate
r7/7k/8/8/8/P7/K7/6R1 w - - 0 1,checkmate
r7/4PRK1/3k4/8/8/8/8/8 w - - 0 1,checkmate
r7/2K3Pk/7P/8/8/8/8/7R w - - 0 1,checkmate
8/8/2K3p1/P5k1/8/8/1r6/R7 w - - 0 1,checkmate
r6k/1R6/4KP2/8/8/8/8/8 w - - 0 1,checkmate
r5k1/8/4P3/4K3/5R2/8/8/8 w - - 0 1,checkmate
k7/1q2PK2/8/7Q/8/8/8/8 w - - 0 1,checkmate
R7/P4r2/3k4/8/5K2/8/8/8 w - - 0 1,checkmate
R7/P3r3/4k3/8/3K4/8/8/8 w - - 0 1,checkmate
R7/P2r4/3k4/8/3K4/8/8/8 w - - 0 1,checkmate
R7/P2r4/3k4/8/2K5/8/8/8 w - - 0 1,checkmate
8/8/2P5/1P6/3K1k2/8/8/r7 w - - 0 1,checkmate
1k6/7R/8/P1K5/2P5/8/8/r7 w - - 0 1,checkmate
R7/8/4KP2/8/8/8/p5k1/r7 w - - 0 1,checkmate
R7/7k/P7/8/8/r6P/6K1/8 w - - 0 1,checkmate
R7/6k1/P7/2K5/8/8/8/r7 w - - 0 1,checkmate
R7/3k4/5K2/5P2/8/8/8/5r2 w - - 0 1,checkmate
R6r/4k3/4P3/4K3/8/8/8/8 w - - 0 1,checkmate
Q7/8/8/8/8/3K4/1k6/q7 w - - 0 1,checkmate
Q7/8/8/4K3/8/3k4/2p5/8 w - - 0 1,checkmate
K7/R7/p7/1k6/8/8/8/8 w - - 0 1,checkmate
K7/P5R1/2k5/8/8/8/2r5/8 w - - 0 1,checkmate
K7/P4k2/8/8/8/8/4R3/1r6 w - - 0 1,checkmate
K7/1P6/k1q5/8/8/1Q6/8/8 w - - 0 1,checkmate
K6R/P7/3k4/8/8/8/8/1r6 w - - 0 1,checkmate
K1k5/P7/8/8/6R1/8/8/7r w - - 0 1,checkmate
K1k5/P7/8/8/1R6/8/r7/8 w - - 0 1,checkmate
8/p7/8/8/2K5/5k2/2P5/8 w - - 0 1,checkmate
8/k7/r5P1/8/8/8/p7/R6K w - - 0 1,checkmate
8/k7/7p/8/8/8/6P1/6K1 w - - 0 1,checkmate
8/RP6/4K2r/1k6/8/8/8/8 w - - 0 1,checkmate
8/PR6/8/8/5k2/8/4K3/r7 w - - 0 1,checkmate
8/K7/8/7P/B7/3k4/b2P4/8 w - - 0 1,checkmate
8/K1kP4/R1P5/8/8/8/8/1r6 w - - 0 1,checkmate
8/8/R7/7k/P1r5/8/7P/6K1 w - - 0 1,checkmate
8/8/P7/8/3K4/r7/P2R4/k7 w - - 0 1,checkmate
8/8/P5rk/8/8/KpR5/8/8 w - - 0 1,checkmate
8/8/P1R5/8/5K2/1p6/8/1k2r3 w - - 0 1,checkmate
