fen,target
8/8/8/2K5/8/5k2/7p/7N w - - 0 1,draw
8/8/1R6/8/8/6pk/r7/6K1 w - - 0 1,draw
7Q/8/8/3k4/3n4/8/8/1K6 w - - 0 1,checkmate
8/2K5/8/8/3R4/5k2/4p3/8 w - - 0 1,draw
1K6/2P5/1q6/8/8/8/5k2/8 w - - 0 1,draw
R7/8/8/8/6K1/8/6kp/8 w - - 0 1,checkmate
Q7/K7/8/8/8/8/5kp1/8 w - - 0 1,checkmate
1K6/8/1k6/8/8/5p1p/R7/8 w - - 0 1,checkmate
R7/P5k1/r7/5P2/8/8/1K6/8 w - - 0 1,checkmate
8/P1n5/8/2K5/8/2k5/8/8 w - - 0 1,checkmate
8/8/8/8/4K2p/7P/8/6k1 w - - 0 1,checkmate
8/8/8/8/1k6/7K/7P/8 w - - 0 1,checkmate
8/8/4k3/8/8/2P3P1/8/K7 w - - 0 1,checkmate
8/4k3/6p1/6P1/4K3/8/8/8 w - - 0 1,checkmate
8/3k4/4pK2/4P3/8/8/8/8 w - - 0 1,checkmate
8/3K4/8/8/3pk3/8/8/3R4 w - - 0 1,checkmate
8/8/r7/4k3/8/4K3/8/7R w - - 0 1,checkmate
6Q1/8/4K3/k7/8/8/8/1q6 w - - 0 1,checkmate
5Q2/8/8/1K6/8/8/pk6/8 w - - 0 1,checkmate
7r/5K2/8/4P3/k7/8/8/8 w - - 0 1,draw
8/8/8/8/8/4Kp1p/7k/8 w - - 0 1,draw
8/7K/8/8/4k3/N7/p7/8 w - - 0 1,draw
8/6B1/8/8/2K5/8/p7/1kb5 w - - 0 1,draw
8/1K6/8/8/8/R7/1kp5/8 w - - 0 1,draw
8/p4K2/P7/8/8/8/1k6/8 w - - 0 1,checkmate
8/K7/8/8/4pk2/8/8/R7 w - - 0 1,checkmate
8/8/8/8/8/p2N4/2K5/k7 w - - 0 1,checkmate
8/8/4K3/4P2p/8/5k2/8/8 w - - 0 1,checkmate
8/8/2k5/8/1PK5/1P6/8/8 w - - 0 1,checkmate
8/7k/5K2/6P1/8/8/8/8 w - - 0 1,checkmate
8/4r3/8/1P6/8/k7/8/1R3K2 w - - 0 1,checkmate
